epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1064.25,1.27426,0.73765,1.12292,0.80427,0.91049,0.92514,0.59342,1.34798,0.72263,1.17963,0.00155423,0.00155423,0.00155423
43,1090.47,1.30891,0.75349,1.13088,0.87532,0.87226,0.93865,0.60285,1.37452,0.70827,1.20254,0.00155148,0.00155148,0.00155148
44,1116.54,1.27597,0.75821,1.12081,0.83835,0.8725,0.92982,0.58676,1.38385,0.71648,1.19883,0.00154873,0.00154873,0.00154873
45,1143.45,1.29325,0.73947,1.12591,0.80629,0.92087,0.92274,0.58605,1.36146,0.72579,1.18673,0.00154598,0.00154598,0.00154598
46,1168.26,1.28666,0.75178,1.12677,0.83709,0.89689,0.93067,0.58743,1.36396,0.71049,1.18436,0.00154323,0.00154323,0.00154323
47,1192.82,1.28377,0.75032,1.12276,0.82853,0.91397,0.93825,0.60044,1.36817,0.68742,1.19265,0.00154047,0.00154047,0.00154047
48,1217.27,1.29491,0.74391,1.12369,0.83564,0.89887,0.92468,0.56731,1.40954,0.73605,1.21226,0.00153772,0.00153772,0.00153772
49,1241.69,1.29462,0.74851,1.13741,0.83604,0.90268,0.93139,0.59139,1.37702,0.71682,1.19059,0.00153497,0.00153497,0.00153497
50,1266.08,1.31025,0.74804,1.13906,0.84176,0.89736,0.92976,0.5811,1.39194,0.70944,1.20829,0.00153222,0.00153222,0.00153222
51,1290.41,1.28321,0.73185,1.1221,0.82472,0.88661,0.92988,0.5642,1.44684,0.73155,1.22437,0.00152947,0.00152947,0.00152947
52,1314.67,1.30778,0.74348,1.13646,0.84552,0.91535,0.93973,0.5778,1.42229,0.71224,1.22011,0.00152672,0.00152672,0.00152672
53,1339.26,1.33141,0.7557,1.13755,0.84302,0.89029,0.93365,0.56914,1.43203,0.7227,1.2219,0.00152397,0.00152397,0.00152397
54,1363.59,1.28305,0.72758,1.1207,0.85705,0.8884,0.93684,0.60915,1.34534,0.67962,1.18485,0.00152122,0.00152122,0.00152122
55,1388.08,1.27527,0.7165,1.12269,0.83661,0.91303,0.9393,0.60161,1.3549,0.69096,1.18802,0.00151847,0.00151847,0.00151847
56,1412.45,1.27648,0.71552,1.12138,0.81758,0.90443,0.93079,0.60884,1.34145,0.69061,1.17151,0.00151572,0.00151572,0.00151572
57,1437.01,1.27592,0.71865,1.11955,0.88728,0.88108,0.95056,0.59888,1.41929,0.68007,1.20289,0.00151297,0.00151297,0.00151297
58,1461.53,1.27967,0.70766,1.12717,0.83805,0.90753,0.93775,0.60323,1.36509,0.67684,1.20555,0.00151022,0.00151022,0.00151022
59,1485.76,1.25998,0.69427,1.11581,0.86529,0.89048,0.93848,0.57715,1.4183,0.68166,1.22006,0.00150747,0.00150747,0.00150747
60,1510.02,1.25371,0.70648,1.10827,0.85113,0.91535,0.94359,0.59605,1.35907,0.70035,1.19289,0.00150472,0.00150472,0.00150472
61,1534.92,1.29351,0.71397,1.11855,0.82707,0.90542,0.93887,0.6008,1.36164,0.67862,1.18621,0.00150197,0.00150197,0.00150197
62,1562.57,1.27343,0.70608,1.11698,0.86948,0.90162,0.95004,0.6128,1.32786,0.66342,1.17331,0.00149922,0.00149922,0.00149922
63,1588.12,1.26108,0.70245,1.10356,0.85914,0.8878,0.94328,0.60463,1.37163,0.66394,1.19524,0.00149647,0.00149647,0.00149647
64,1614.87,1.24802,0.70871,1.10923,0.83636,0.9055,0.93332,0.59337,1.37446,0.68614,1.19767,0.00149372,0.00149372,0.00149372
65,1639.21,1.26148,0.70065,1.11714,0.86243,0.88214,0.93957,0.60309,1.38189,0.67526,1.19794,0.00149096,0.00149096,0.00149096
66,1666.21,1.27532,0.71096,1.11899,0.84886,0.90084,0.94285,0.59373,1.37139,0.70421,1.20187,0.00148821,0.00148821,0.00148821
67,1692.95,1.24501,0.6963,1.10773,0.85071,0.8738,0.9323,0.59921,1.36249,0.69561,1.19302,0.00148546,0.00148546,0.00148546
68,1718.55,1.24583,0.69854,1.10716,0.86014,0.86553,0.92951,0.60073,1.34499,0.68102,1.19123,0.00148271,0.00148271,0.00148271
69,1745.98,1.26428,0.70706,1.12296,0.85283,0.8922,0.92999,0.54385,1.45704,0.71651,1.24902,0.00147996,0.00147996,0.00147996
70,1774,1.25055,0.70311,1.11122,0.86621,0.88815,0.94071,0.61733,1.32334,0.67348,1.17584,0.00147721,0.00147721,0.00147721
71,1800.99,1.23254,0.68556,1.09703,0.84642,0.93135,0.93852,0.60895,1.32045,0.66769,1.16804,0.00147446,0.00147446,0.00147446
72,1828.64,1.23234,0.68886,1.0987,0.83523,0.8814,0.91686,0.5608,1.41367,0.7443,1.23546,0.00147171,0.00147171,0.00147171
73,1855.66,1.26183,0.70629,1.11772,0.82863,0.84732,0.91232,0.58663,1.34876,0.74216,1.19055,0.00146896,0.00146896,0.00146896
74,1882.19,1.23717,0.70127,1.11837,0.83878,0.91516,0.93526,0.59774,1.36767,0.66798,1.19091,0.00146621,0.00146621,0.00146621
75,1907.81,1.24058,0.6868,1.1048,0.86328,0.87351,0.93402,0.58699,1.39548,0.68425,1.2003,0.00146346,0.00146346,0.00146346
76,1932.44,1.22165,0.68707,1.0902,0.84457,0.89601,0.93207,0.60223,1.32753,0.68185,1.18297,0.00146071,0.00146071,0.00146071
77,1956.42,1.2355,0.68569,1.10473,0.84561,0.90299,0.93003,0.60058,1.34364,0.67749,1.17836,0.00145796,0.00145796,0.00145796
78,1980.27,1.21563,0.67036,1.09367,0.85886,0.88782,0.94071,0.58461,1.40672,0.67167,1.21656,0.00145521,0.00145521,0.00145521
79,2004.25,1.22848,0.66902,1.09164,0.85307,0.8787,0.93014,0.60294,1.33233,0.69665,1.18508,0.00145246,0.00145246,0.00145246
80,2028.18,1.23361,0.68496,1.10406,0.83837,0.86281,0.92035,0.59158,1.35762,0.68902,1.19401,0.00144971,0.00144971,0.00144971
81,2052.26,1.21624,0.67002,1.08794,0.85275,0.88899,0.94201,0.60403,1.33368,0.66863,1.18051,0.00144696,0.00144696,0.00144696
82,2076.1,1.22705,0.67083,1.09271,0.82229,0.92278,0.92923,0.57568,1.4043,0.6944,1.22351,0.00144421,0.00144421,0.00144421
83,2099.72,1.23025,0.66519,1.09284,0.85533,0.89016,0.93227,0.57899,1.39377,0.67815,1.21206,0.00144145,0.00144145,0.00144145
84,2123.61,1.22793,0.68026,1.09777,0.85419,0.85601,0.92547,0.59052,1.37913,0.68822,1.20166,0.0014387,0.0014387,0.0014387
